Epoch,Train_Loss,Train_Tar_Loss,Validation_Loss,Validation_Tar_Loss
1,0.18304815302698557,0.064650333565288,0.07256935877318414,0.015808474867672517
2,0.047190412822331766,0.004810797480402422,0.045497871935367584,0.01111143910316812
3,0.025766400577847494,0.0032224885423529624,0.02737877226514828,0.010862630914545169
4,0.020534486176991416,0.0026842900950234993,0.017151695173480454,0.0027764684721883017
5,0.01605899013515151,0.0020176726623576404,0.01939503640084472,0.002856829088406378
6,0.014287466296621603,0.0016746004023536077,0.011275170202866591,0.001273980457489903
7,0.01452986612214845,0.0016067843958815142,0.011277425095179913,0.0012371531109069628
8,0.0134208093648741,0.0014397603300968433,0.011232715658226748,0.0011855464043953017
9,0.012880337766297304,0.0013531596524226602,0.010245372169644924,0.001067955388235767
10,0.012434084021518212,0.00133898559067586,0.012666588319181804,0.001218761187910244
11,0.012152465778321537,0.001253349460641935,0.013703998653156474,0.0015460129623726898
12,0.013175005139251851,0.001430285918484743,0.013362129706124597,0.0013575762878819707
13,0.012562366829257274,0.0013524068144553768,0.009608148749831397,0.0009538225472260218
14,0.011452594442654245,0.0011962792707098996,0.010210484246236105,0.0010892783138601863
15,0.011524236710572141,0.0012365083882767537,0.01079559497017142,0.001270098485660104
16,0.011310919280918208,0.0011222778388808973,0.01058720089865244,0.0009726458404518491
17,0.01136983386701249,0.0011480064472155255,0.008961459122203438,0.0008350423613712746
18,0.01135920990300949,0.0011528806844788176,0.009725532895385825,0.0009140105474168212
19,0.011618266250414087,0.0011393785614568117,0.01046226200160404,0.000976597338634241
20,0.011080301046272308,0.0010779115900144108,0.00892174499732325,0.0008571228335861314
21,0.010106394337419378,0.0009557797170479644,0.010479837629808397,0.0009879574555686263
22,0.010038042221459145,0.0009481830229387821,0.008182137348806325,0.0007646160567601809
23,0.00989496287758756,0.0009299010489208574,0.008902981422459152,0.0008092738378836175
24,0.011141949756418005,0.0010334677841981781,0.009576342087115674,0.0009195131838741089
25,0.009852320479916075,0.000920942940367669,0.009799482677107221,0.0009503867222760983
26,0.010861545728569136,0.00101315227193101,0.00981963170069387,0.0009528029068613684
27,0.011386137459242978,0.001078414100845532,0.009374794940347013,0.0009331227048332587
28,0.010868234919320381,0.001032635851868538,0.012631815620728874,0.0013095641081585297
29,0.010924723110880575,0.001013995637916234,0.01195116211746554,0.0010283083480702626
30,0.011495418874936412,0.0010859227968121352,0.018232203825740822,0.0015798125578713486
31,0.011605035734076067,0.0010881657548825975,0.010987434303388,0.0010490540745791467
32,0.010574505544009091,0.0009913131882487035,0.009035997934614784,0.0008749789388739313
33,0.00976585245340666,0.0008971987050044361,0.008545076614862541,0.0008157468654349483
34,0.009792593219264378,0.0009200606962020541,0.008972804695799553,0.0007943079767545179
35,0.009253944542981372,0.0008351043698434566,0.009145011160127966,0.000864179180345239
36,0.010182879735917532,0.0009942647846975141,0.010387997550038707,0.0009280285481533146
37,0.009891513054269744,0.0009338378803003331,0.008711218941858076,0.0007800880344646261
